"x","y"
"0","80"
"0.1","83"
"0.2","79"
"0.3","77"
"0.4","76"
"0.5","72"
"0.6","69"
"0.7","68"
"0.8","65"
"0.9","65"
"1","65"
"1.1","61"
"1.2","61"
"1.3","59"
"1.4","57"
"1.5","57"
"1.6","54"
"1.7","57"
"1.8","55"
"1.9","55"
"2","52"
"2.1","50"
"2.2","53"
"2.3","50"
"2.4","53"
"2.5","53"
"2.6","53"
"2.7","53"
"2.8","50"
"2.9","53"
"3","54"
"3.1","54"
"3.2","55"
"3.3","55"
"3.4","55"
"3.5","56"
"3.6","58"
"3.7","59"
"3.8","59"
"3.9","61"
"4","59"
"4.1","64"
"4.2","63"
"4.3","65"
"4.4","66"
"4.5","67"
"4.6","68"
"4.7","71"
"4.8","72"
"4.9","76"
"5","74"
"5.1","75"
"5.2","76"
"5.3","78"
"5.4","80"
"5.5","82"
"5.6","84"
"5.7","85"
"5.8","89"
"5.9","89"
"6","91"
"6.1","93"
"6.2","97"
"6.3","98"
"6.4","100"
"6.5","102"
"6.6","106"
"6.7","107"
"6.8","109"
"6.9","112"
"7","115"
"7.1","117"
"7.2","118"
"7.3","121"
"7.4","124"
"7.5","127"
"7.6","128"
"7.7","130"
"7.8","133"
"7.9","137"
"8","139"
"8.1","143"
"8.199999999999999","145"
"8.300000000000001","145"
"8.4","149"
"8.5","152"
"8.6","154"
"8.699999999999999","156"
"8.800000000000001","159"
"8.9","161"
"9","164"
"9.1","164"
"9.199999999999999","169"
"9.300000000000001","170"
"9.4","175"
"9.5","177"
"9.6","180"
"9.699999999999999","182"
"9.800000000000001","185"
"9.9","187"
"10","190"
"10.1","193"
"10.2","196"
"10.3","199"
"10.4","201"
"10.5","204"
"10.6","208"
"10.7","209"
"10.8","212"
"10.9","215"
"11","218"
"11.1","220"
"11.2","223"
"11.3","227"
"11.4","229"
"11.5","232"
"11.6","234"
"11.7","238"
"11.8","241"
"11.9","241"
"12","246"
"12.1","247"
"12.2","251"
"12.3","253"
"12.4","254"
"12.5","258"
"12.6","261"
"12.7","263"
"12.8","267"
"12.9","269"
"13","272"
"13.1","274"
"13.2","278"
"13.3","280"
"13.4","283"
"13.5","285"
"13.6","289"
"13.7","291"
"13.8","293"
"13.9","299"
"14","301"
"14.1","304"
"14.2","306"
"14.3","307"
"14.4","311"
"14.5","315"
"14.6","317"
"14.7","320"
"14.8","323"
"14.9","325"
"15","328"
"15.1","330"
"15.2","332"
"15.3","334"
"15.4","335"
"15.5","340"
"15.6","341"
"15.7","342"
"15.8","343"
"15.9","346"
"16","347"
"16.1","352"
"16.2","351"
"16.3","352"
"16.4","355"
"16.5","358"
"16.6","360"
"16.7","363"
"16.8","366"
"16.9","366"
"17","367"
"17.1","370"
"17.2","373"
"17.3","374"
"17.4","375"
"17.5","377"
"17.6","378"
"17.7","379"
"17.8","382"
"17.9","384"
"18","386"
"18.1","388"
"18.2","389"
"18.3","392"
"18.4","393"
"18.5","396"
